season,date,away_team,away_score,away_point_spread,away_point_spread_line,away_money_line,home_team,home_score,home_point_spread,home_point_spread_line,home_money_line,over_under,over_line,under_line,year,month,day,dayofweek,total_points,point_margin_game,won_on_points,lost_on_points,cover_margin_game,won_on_spread,lost_on_spread,overunder_margin,over,under,home_wins,home_losses,home_ties,home_days_since_first_game,home_days_since_previous_game,home_point_win_streak,home_point_loss_streak,home_point_margin_game,home_point_margin_season,home_point_margin_season_avg,home_point_margin_streak,home_point_margin_streak_avg,home_point_margin_ngames,home_point_margin_ngames_avg,home_cover_win_streak,home_cover_loss_streak,home_cover_margin_game,home_cover_margin_season,home_cover_margin_season_avg,home_cover_margin_streak,home_cover_margin_streak_avg,home_cover_margin_ngames,home_cover_margin_ngames_avg,home_total_points,home_overunder_margin,home_over_streak,home_under_streak,home_overunder_season,home_overunder_season_avg,home_overunder_streak,home_overunder_streak_avg,home_overunder_ngames,home_overunder_ngames_avg,away_wins,away_losses,away_ties,away_days_since_first_game,away_days_since_previous_game,away_point_win_streak,away_point_loss_streak,away_point_margin_game,away_point_margin_season,away_point_margin_season_avg,away_point_margin_streak,away_point_margin_streak_avg,away_point_margin_ngames,away_point_margin_ngames_avg,away_cover_win_streak,away_cover_loss_streak,away_cover_margin_game,away_cover_margin_season,away_cover_margin_season_avg,away_cover_margin_streak,away_cover_margin_streak_avg,away_cover_margin_ngames,away_cover_margin_ngames_avg,away_total_points,away_overunder_margin,away_over_streak,away_under_streak,away_overunder_season,away_overunder_season_avg,away_overunder_streak,away_overunder_streak_avg,away_overunder_ngames,away_overunder_ngames_avg,delta_wins,delta_losses,delta_ties,delta_days_since_first_game,delta_days_since_previous_game,delta_point_win_streak,delta_point_loss_streak,delta_point_margin_game,delta_point_margin_season,delta_point_margin_season_avg,delta_point_margin_streak,delta_point_margin_streak_avg,delta_point_margin_ngames,delta_point_margin_ngames_avg,delta_cover_win_streak,delta_cover_loss_streak,delta_cover_margin_game,delta_cover_margin_season,delta_cover_margin_season_avg,delta_cover_margin_streak,delta_cover_margin_streak_avg,delta_cover_margin_ngames,delta_cover_margin_ngames_avg,delta_total_points,delta_overunder_margin,delta_over_streak,delta_under_streak,delta_overunder_season,delta_overunder_season_avg,delta_overunder_streak,delta_overunder_streak_avg,delta_overunder_ngames,delta_overunder_ngames_avg,won_on_points_daily_mean_lag1,won_on_spread_daily_mean_lag1,over_daily_mean_lag1
2023-24,2023-10-10,liberty,31,-7.0,-107,-253.0,jacksonville_state,13,7.0,-113,215.0,57.5,-110,-110,2023,10,10,1,44,-18,0,1,-11.0,0,1,-13.5,0,1,5,1,0,39,6,3,0,15,78,13.0,43,14.333333333333300,43,14.333333333333300,3,0,18.5,67.5,11.25,33.0,11.0,33.0,11.0,75,23.5,2,0,-18.5,-3.0833333333333300,50.0,25.0,20.0,6.666666666666670,5,0,0,33,12,5,0,5,91,18.2,91,18.2,65,21.666666666666700,0,1,-16.0,39.5,7.9,-16.0,-16.0,31.0,10.333333333333300,37,-9.0,0,2,17.5,3.5,-17.5,-8.75,11.0,3.6666666666666700,0,1,0,6,-6,-2,0,10,-13,-5.200000000000000,-48,-3.8666666666666700,-22,-7.333333333333330,3,-1,34.5,28.0,3.3500000000000000,49.0,27.0,2.0,0.6666666666666660,38,32.5,2,-2,-36.0,-6.583333333333330,67.5,33.75,9.0,3.0000000000000000,0.5,0.5,0.0
2023-24,2023-10-10,coastal_carolina,27,5.5,-110,180.0,appalachian_st,24,-5.5,-110,-210.0,61.0,-110,-110,2023,10,10,1,51,-3,0,1,-8.5,0,1,-10.0,0,1,3,2,0,28,7,1,0,1,28,5.6,1,1.0,13,4.333333333333330,0,2,-12.5,9.0,1.8,-12.5,-6.25,-5.0,-1.6666666666666700,81,30.5,1,0,79.0,15.8,30.5,30.5,50.5,16.833333333333300,2,3,0,28,9,0,2,-10,36,7.2,-23,-11.5,36,12.0,0,2,-3.5,5.5,1.1,-23.5,-11.75,3.5,1.1666666666666700,66,0.0,0,0,-40.5,-8.1,0.0,0.0,1.0,0.3333333333333330,1,-1,0,0,-2,1,-2,11,-8,-1.6000000000000000,24,12.5,-23,-7.666666666666670,0,0,-9.0,3.5,0.7,11.0,5.5,-8.5,-2.8333333333333300,15,30.5,1,0,119.5,23.9,30.5,30.5,49.5,16.5,0.5,0.5,0.0
2023-24,2023-10-11,utep,27,2.5,-108,115.0,florida_intl,14,-2.5,-112,-135.0,44.0,-110,-110,2023,10,11,2,41,-13,0,1,-15.5,0,1,-3.0,0,1,2,3,0,39,11,0,2,-17,-40,-8.0,-49,-24.5,-42,-14.0,0,2,-10.5,6.0,1.2,-32.5,-16.25,-18.5,-6.166666666666670,51,2.0,1,0,6.0,1.2,2.0,2.0,-8.0,-2.6666666666666700,0,5,0,34,6,0,5,-14,-86,-17.2,-86,-17.2,-52,-17.333333333333300,0,5,-14.0,-66.0,-13.2,-66.0,-13.2,-32.0,-10.666666666666700,34,-17.0,0,1,-26.5,-5.3,-17.0,-17.0,-10.5,-3.5,2,-2,0,5,5,0,-3,-3,46,9.2,37,-7.300000000000000,10,3.333333333333330,0,-3,3.5,72.0,14.400000000000000,33.5,-3.0500000000000000,13.5,4.500000000000000,17,19.0,1,-1,32.5,6.5,19.0,19.0,2.5,0.8333333333333340,0.5,0.5,0.5
2023-24,2023-10-11,sam_houston,13,3.5,-110,145.0,new_mexico_st,27,-3.5,-110,-165.0,42.5,-110,-110,2023,10,11,2,40,14,1,0,10.5,1,0,-2.5,0,1,2,3,0,39,11,1,0,17,-3,-0.6,17,17.0,24,8.0,1,0,10.5,-2.0,-0.4,10.5,10.5,23.0,7.666666666666670,51,2.0,1,0,-1.0,-0.2,2.0,2.0,-24.5,-8.166666666666670,0,5,0,33,7,0,5,-5,-67,-13.4,-67,-13.4,-43,-14.333333333333300,1,0,16.0,4.0,0.8,16.0,16.0,-5.0,-1.6666666666666700,37,-9.0,0,1,-28.5,-5.7,-9.0,-9.0,25.0,8.333333333333330,2,-2,0,6,4,1,-5,22,64,12.8,84,30.4,67,22.333333333333300,0,0,-5.5,-6.0,-1.2000000000000000,-5.5,-5.5,28.0,9.333333333333330,14,11.0,1,-1,27.5,5.5,11.0,11.0,-49.5,-16.5,0.5,0.5,0.5
2023-24,2023-10-12,west_virginia,39,-2.5,-113,-145.0,houston,41,2.5,-107,125.0,49.5,-110,-110,2023,10,12,3,80,2,1,0,4.5,1,0,30.5,1,0,2,3,0,28,7,0,1,-21,-12,-2.4,-21,-21.0,-13,-4.333333333333330,0,1,-12.5,-12.5,-2.5,-12.5,-12.5,-7.5,-2.5,77,25.0,2,0,20.5,4.1,32.5,16.25,17.5,5.833333333333330,3,1,0,28,7,3,0,3,-2,-0.5,21,7.0,21,7.0,3,0,16.5,35.0,8.75,37.5,12.5,37.5,12.5,45,-7.0,0,3,-48.0,-12.0,-52.5,-17.5,-52.5,-17.5,-1,2,0,0,0,-3,1,-24,-10,-1.9,-42,-28.0,-34,-11.333333333333300,-3,1,-29.0,-47.5,-11.25,-50.0,-25.0,-45.0,-15.0,32,32.0,2,-3,68.5,16.1,85.0,33.75,70.0,23.333333333333300,0.0,0.0,0.6666666666666670
2023-24,2023-10-12,smu,31,-11.5,-110,-437.0,east_carolina,10,11.5,-110,345.0,50.5,-110,-110,2023,10,12,3,41,-21,0,1,-9.5,0,1,-9.5,0,1,1,4,0,28,7,0,1,-7,-23,-4.6,-7,-7.0,22,7.333333333333330,0,1,-4.0,12.5,2.5,-4.0,-4.0,18.5,6.166666666666670,41,-4.5,0,2,-11.0,-2.2,-15.0,-7.5,8.0,2.6666666666666700,2,2,0,28,7,1,0,18,8,2.0,18,18.0,-16,-5.333333333333330,0,3,-4.5,-12.0,-3.0,-15.0,-5.0,-15.0,-5.0,50,-3.5,0,4,-59.0,-14.75,-59.0,-14.75,-45.5,-15.166666666666700,-1,2,0,0,0,-1,1,-25,-31,-6.6,-25,-25.0,38,12.666666666666700,0,-2,0.5,24.5,5.5,11.0,1.0,33.5,11.166666666666700,-9,-1.0,0,-2,48.0,12.55,44.0,7.25,53.5,17.833333333333300,0.0,0.0,0.6666666666666670
2023-24,2023-10-13,tulane,31,-5.0,-110,-200.0,memphis,21,5.0,-110,170.0,55.0,-110,-110,2023,10,13,4,52,-10,0,1,-5.0,0,1,-3.0,0,1,3,1,0,21,7,1,0,3,34,8.5,3,3.0,0,0.0,0,3,0.0,3.0,0.75,-10.0,-3.3333333333333300,-10.0,-3.3333333333333300,67,8.5,3,0,4.5,1.125,22.5,7.5,22.5,7.5,4,1,0,28,7,3,0,12,62,12.4,59,19.666666666666700,59,19.666666666666700,0,2,-9.5,-7.5,-1.5,-18.0,-9.0,-11.5,-3.8333333333333300,58,-0.5,0,4,-45.0,-9.0,-47.5,-11.875,-40.0,-13.333333333333300,-1,0,0,-7,0,-2,0,-9,-28,-3.9000000000000000,-56,-16.666666666666700,-59,-19.666666666666700,0,1,9.5,10.5,2.25,8.0,5.666666666666670,1.5,0.5,9,9.0,3,-4,49.5,10.125,70.0,19.375,62.5,20.833333333333300,0.6153846153846150,0.5384615384615380,0.5192307692307690
2023-24,2023-10-13,fresno_state,37,-4.5,-110,-185.0,utah_state,32,4.5,-110,162.0,55.5,-110,-110,2023,10,13,4,69,-5,0,1,-0.5,0,1,13.5,1,0,2,3,0,35,7,2,0,20,-14,-2.8,21,10.5,14,4.666666666666670,1,0,23.0,22.5,4.5,23.0,23.0,18.0,6.0,68,6.0,4,0,60.5,12.1,66.0,16.5,52.5,17.5,4,1,0,35,7,0,1,-5,89,17.8,-5,-5.0,56,18.666666666666700,0,2,-11.0,32.0,6.4,-17.5,-8.75,-1.5,-0.5,43,0.0,0,0,8.0,1.6,0.0,0.0,1.0,0.3333333333333330,-2,2,0,0,0,2,-1,25,-103,-20.6,26,15.5,-42,-14.0,1,-2,34.0,-9.5,-1.9000000000000000,40.5,31.75,19.5,6.5,25,6.0,4,0,52.5,10.5,66.0,16.5,51.5,17.166666666666700,0.6153846153846150,0.5384615384615380,0.5192307692307690
2023-24,2023-10-13,stanford,46,12.0,-110,360.0,colorado,43,-12.0,-110,-450.0,59.5,-110,-110,2023,10,13,4,89,-3,0,1,-15.0,0,1,29.5,1,0,4,2,0,35,7,1,0,3,-7,-1.1666666666666700,3,3.0,-40,-13.333333333333300,0,1,-0.5,27.5,4.583333333333330,-0.5,-0.5,-0.5,-0.16666666666666700,51,-7.5,0,1,18.0,3.0,-7.5,-7.5,-13.5,-4.5,1,4,0,29,7,0,4,-36,-77,-15.4,-90,-22.5,-44,-14.666666666666700,0,1,-9.0,-18.0,-3.6,-9.0,-9.0,-11.0,-3.6666666666666700,48,-11.5,0,4,-35.0,-7.0,-41.0,-10.25,-37.5,-12.5,3,-2,0,6,0,1,-4,39,70,14.233333333333300,93,25.5,4,1.3333333333333300,0,0,8.5,45.5,8.183333333333330,8.5,8.5,10.5,3.5,3,4.0,0,-3,53.0,10.0,33.5,2.75,24.0,8.0,0.6153846153846150,0.5384615384615380,0.5192307692307690
2023-24,2023-10-14,arkansas,21,19.5,-110,851.0,alabama,24,-19.5,-110,-1475.0,45.0,-110,-110,2023,10,14,5,45,3,1,0,-16.5,0,1,0.0,0,0,5,1,0,35,7,4,0,6,96,16.0,57,14.25,43,14.333333333333300,3,0,3.5,-8.0,-1.3333333333333300,19.0,6.333333333333330,19.0,6.333333333333330,46,0.5,2,0,-36.0,-6.0,11.5,5.75,-10.5,-3.5,2,4,0,35,7,0,4,-7,39,6.5,-29,-7.25,-22,-7.333333333333330,1,0,6.0,-6.0,-1.0,6.0,6.0,14.5,4.833333333333330,47,-14.0,0,1,1.5,0.25,-14.0,-14.0,-1.0,-0.3333333333333330,3,-3,0,0,0,4,-4,13,57,9.5,86,21.5,65,21.666666666666700,2,0,-2.5,-2.0,-0.33333333333333300,13.0,0.33333333333333300,4.5,1.5,-1,14.5,2,-1,-37.5,-6.25,25.5,19.75,-9.5,-3.1666666666666700,1.0,0.6666666666666670,0.6666666666666670
